LEAID,NAME,YEAR,MEMBERSCH,TCURELSC,TOTALREV,TOTALEXP,per_pupil_spending,name_key,districtorganizationid,districtcode,districtname,graduationrate,graduate,finalcohort
5300001,Enumclaw School District,2016,4078,47410000,54305000,58432000,11625.796959293772,enumclaw,100080,17216,Enumclaw School District,0.8392417440711881,5486.0,6308.0
5300002,Inchelium School District,2016,213,4159000,5078000,4387000,19525.82159624413,inchelium,100109,10070,Inchelium School District,0.71,0.0,0.0
5300003,Kelso School District,2016,5018,53751000,58723000,55511000,10711.638102829813,kelso,100115,8458,Kelso School District,0.8407224858496092,5862.0,6817.0
5300014,Bates Technical College,2016,298,-1,-1,-1,-0.003355704697986577,bates technical college,104220,27931,Bates Technical College,0.11421216217711765,202.0,1754.0
5300030,Aberdeen School District,2016,3288,40252000,45467000,42555000,12242.092457420924,aberdeen,100010,14005,Aberdeen School District,0.798417843262488,3549.0,4287.0
5300060,Adna School District,2016,631,6512000,7207000,7592000,10320.12678288431,adna,100011,21226,Adna School District,0.88,0.0,0.0
5300150,Anacortes School District,2016,2791,31661000,36762000,43877000,11343.962737370119,anacortes,100013,29103,Anacortes School District,0.8722022016948797,3635.0,4068.0
5300240,Arlington School District,2016,5559,59888000,67381000,62087000,10773.16064040295,arlington,100014,31016,Arlington School District,0.8108600896564746,7041.0,8287.0
5300280,Asotin-Anatone School District,2016,654,7635000,7869000,7840000,11674.311926605504,asotin anatone,100015,2420,Asotin-Anatone School District,,0.0,0.0
5300300,Auburn School District,2016,15846,184836000,224434000,211850000,11664.521014767133,auburn,100016,17408,Auburn School District,0.7515300351912814,23293.0,28909.0
5300327,MUCKLESHOOT INDIAN TRIBE,2016,-3,2947000,3080000,2947000,-982333.3333333334,muckleshoot indian tribe,105771,17903,Muckleshoot Indian Tribe,0.5448011695906375,170.0,346.0
5300328,Suquamish Tribal Education Department,2016,79,1661000,1741000,1696000,21025.316455696204,suquamish tribal education department,105768,18902,Suquamish Tribal Education Department,0.78,0.0,0.0
5300329,Lummi Tribal Agency,2016,-3,2956000,2978000,2978000,-985333.3333333334,lummi tribal agency,105800,37903,Lummi Tribal Agency,0.6562684030425904,108.0,184.0
5300330,Bainbridge Island School District,2016,3921,42836000,53294000,49451000,10924.764090793165,bainbridge island,100017,18303,Bainbridge Island School District,0.9335169872508056,6090.0,6362.0
5300380,Battle Ground School District,2016,13571,140502000,155987000,149500000,10353.105887554344,battle ground,100018,6119,Battle Ground School District,0.7611746899266973,23906.0,29581.0
5300390,Bellevue School District,2016,20047,242716000,339568000,383022000,12107.347732827855,bellevue,100019,17405,Bellevue School District,0.9146269438212653,32775.0,35074.0
5300420,Bellingham School District,2016,11312,131586000,155588000,165942000,11632.425742574258,bellingham,100020,37501,Bellingham School District,0.8141394084967207,21556.0,24881.0
