name_key,Y_t1,Y_t2,delta_Y,dose,NAME
aberdeen,0.798417843262488,0.7965914608817549,-0.0018263823807330715,2698.905109489051,Aberdeen School District
adna,0.88,0.9175,0.03749999999999998,2098.256735340729,Adna School District
anacortes,0.8722022016948797,0.8851696981092889,0.012967496414409196,5304.550340379792,Anacortes School District
arlington,0.8108600896564746,0.8543920279757501,0.04353193831927549,3599.0286022665946,Arlington School District
auburn,0.7515300351912814,0.835087859349209,0.08355782415792767,4275.148302410703,Auburn School District
bainbridge island,0.9335169872508056,0.9365182354933103,0.003001248242504695,5812.8028564141805,Bainbridge Island School District
battle ground,0.7611746899266973,0.773539093543962,0.012364403617264652,3005.158057622872,Battle Ground School District
bellingham,0.8141394084967207,0.8517810240656895,0.03764161556896872,5422.5601131541725,Bellingham School District
bethel,0.868248957657087,0.876267092987975,0.008018135330888021,3669.8167995353992,Bethel School District
blaine,0.7787885077847384,0.8755100046710609,0.09672149688632248,5120.357941834452,Blaine School District
bremerton,0.6943295796727145,0.6617544294703525,-0.03257515020236201,3685.7528436475804,Bremerton School District
brewster,0.819604650881158,0.8458137553045904,0.026209104423432383,1563.691073219659,Brewster School District
bridgeport,0.862721856149775,0.8252845038088872,-0.03743735234088785,697.072072072072,Bridgeport School District
burlington edison,0.7763390165466454,0.8576005768084201,0.08126156026177467,4003.5297311973936,Burlington-Edison School District
camas,0.9042908533796216,0.8969016894998522,-0.0073891638797694,5441.112559756628,Camas School District
cape flattery,0.8563012698875999,0.8982394073220668,0.04193813743446684,1812.6315789473683,Cape Flattery School District
cascade,0.8970042802762245,0.9168757302067407,0.01987144993051626,5657.251908396946,Cascade School District
cashmere,0.9376411721742124,0.9317555686553737,-0.005885603518838711,3073.8820479585224,CASHMERE SCHOOL DISTRICT
castle rock,0.8078865098639799,0.8393737878879399,0.03148727802396001,2118.8925081433226,Castle Rock School District
central kitsap,0.8597960669310394,0.881635979693326,0.021839912762286584,3524.7971145175834,Central Kitsap School District
central valley,0.845269010628162,0.8107214113616792,-0.034547599266482765,3249.3812345308634,Central Valley School District
centralia,0.7766280857254709,0.8144888530793052,0.03786076735383426,1999.4433620929585,Centralia School District
chehalis,0.8268895163566896,0.8657462858423056,0.038856769485616005,2903.172504957039,Chehalis School District
cheney,0.8500676481121549,0.8929491556360223,0.042881507523867435,3469.2577953447517,Cheney School District
chewelah,0.8276532249512829,0.8737025226182702,0.04604929766698729,1767.6143386897404,Chewelah School District
chimacum,0.864821117014209,0.8526576903132478,-0.012163426700961266,4641.873278236914,Chimacum School District
clarkston,0.6765268787448933,0.7840417564080175,0.10751487766312429,2238.5560104205433,Clarkston School District
cle elum roslyn,0.8209601958067799,0.8444316168246443,0.02347142101786437,5378.048780487805,Cle Elum-Roslyn School District
clover park,0.8440566138013178,0.8678667589138108,0.02381014511249302,2397.6909275294483,Clover Park School District
colfax,0.8750815577570195,0.882596911913091,0.007515354156071519,3888.3333333333335,Colfax School District
columbia stevens,0.64,0.7100793650793651,0.07007936507936507,1572.3270440251572,Columbia (Stevens) School District
columbia walla walla,0.8006377134664467,0.8060372605805985,0.005399547114151804,4936.018957345972,Columbia (Walla Walla) School District
colville,0.8388238738689056,0.8640985160851493,0.02527464221624376,1796.5821389195148,Colville School District
concrete,0.6770148040702756,0.7599268222416956,0.08291201817142002,3384.9056603773583,Concrete School District
coupeville,0.8916005923220679,0.9253547355703944,0.033754143248326485,6200.210748155953,Coupeville School District
crescent,0.6707142857142857,0.7484090909090909,0.0776948051948052,2356.6176470588234,Crescent School District
cusick,0.8177777777777778,0.7683333333333334,-0.0494444444444444,2301.255230125523,Cusick School District
darrington,0.8064129023150676,0.8289150134267095,0.02250211111164191,4084.11214953271,Darrington School District
davenport,0.88353246753246,0.8960555555555555,0.012523088023095541,3710.7023411371238,Davenport School District
dayton,0.81372727272727,0.7722600351167378,-0.04146723761053217,3739.3483709273182,Dayton School District
deer park,0.884857234871573,0.9325529182620407,0.0476956833904677,2313.6,Deer Park School District
east valley spokane,0.7813037743086046,0.8054985083689037,0.02419473406029904,2714.219438645326,East Valley School District (Spokane)
east valley yakima,0.875906145955735,0.8763079417334743,0.00040179577773924446,2946.1268728084156,East Valley School District (Yakima)
eastmont,0.8477447199597314,0.8786504585531855,0.030905738593454024,2727.2422464375522,Eastmont School District
eatonville,0.9237399596098675,0.9443596607917918,0.020619701181924244,3875.897435897436,Eatonville School District
edmonds,0.8307586960505458,0.8486083954876504,0.017849699437104682,6097.331240188383,Edmonds School District
ellensburg,0.8659055005863339,0.888524254747472,0.02261875416113812,3775.560331593491,Ellensburg School District
elma,0.9235584111602978,0.9313825230360294,0.00782411187573162,2717.391304347826,Elma School District
entiat,0.8566666666666666,0.7952030749951791,-0.061463591671487516,3542.2740524781343,Entiat School District
enumclaw,0.8392417440711881,0.8572632244900161,0.018021480418828006,4461.500735654733,Enumclaw School District
ephrata,0.904787100322936,0.9158175945815932,0.011030494258657209,1947.390223695112,Ephrata School District
everett,0.9305907402772962,0.9379969547820618,0.00740621450476564,4824.022486573307,Everett School District
evergreen clark,0.8237389519235631,0.9127415693787222,0.08900261745515914,3139.2658081875843,Evergreen School District (Clark)
federal way,0.8164284620052557,0.8691852378483983,0.052756775843142645,3876.860974868701,Federal Way School District
ferndale,0.7398980277446139,0.8255272569202576,0.08562922917564375,3900.1863739904743,Ferndale School District
fife,0.8516555585290083,0.9265938864330406,0.07493832790403232,3968.039003250271,Fife School District
finley,0.8834731525373317,0.8533161178670274,-0.030157034670304284,2575.657894736842,Finley School District
franklin pierce,0.860615421749886,0.8870437711810351,0.026428349431149023,4051.053379862996,Franklin Pierce School District
freeman,0.93440946545241,0.9328452125013207,-0.0015642529510893066,3977.777777777778,Freeman School District
goldendale,0.848867154109951,0.8992140925804136,0.05034693847046268,3906.7796610169494,Goldendale School District
grand coulee dam,0.7528195213393675,0.8455776406494987,0.09275811931013123,2038.781163434903,Grand Coulee Dam School District
grandview,0.8175711365310855,0.9041458162857563,0.08657467975467081,1185.3250606959805,Grandview School District
granger,0.7991234156062491,0.835917556338033,0.036794140731783886,1026.955950032873,Granger School District
granite falls,0.7997972695556745,0.8241817191698164,0.02438444961414188,4433.284813197477,Granite Falls School District
highland,0.7946814181212176,0.8789553162886602,0.08427389816744257,2257.926306769494,Highland School District
highline,0.7688805940006544,0.843740220583889,0.07485962658323453,4384.548477871578,Highline School District
hockinson,0.9210473795669064,0.948152977511383,0.027105597944476645,4278.014941302028,Hockinson School District
hoquiam,0.7829436437719018,0.8457705659879577,0.0628269222160559,2801.0594467333726,Hoquiam School District
inchelium,0.71,0.6234927138106692,-0.08650728618933079,1131.455399061033,Inchelium School District
issaquah,0.8974321271704211,0.9297516603596918,0.03231953318927072,6369.6055335572155,Issaquah School District
kalama,0.9134968034913168,0.8839850585935233,-0.029511744897793513,3062.7027027027025,Kalama School District
kelso,0.8407224858496092,0.8769705082887956,0.036248022439186456,2380.430450378637,Kelso School District
kennewick,0.766648266212037,0.7457031473869464,-0.020945118825090536,2525.428491149199,Kennewick School District
kent,0.8169938115107582,0.8627746166885636,0.04578080517780536,4110.317975340688,Kent School District
kettle falls,0.8575192726129237,0.9040514626876096,0.0465321900746859,1904.6052631578948,Kettle Falls School District
kiona benton city,0.771103276627965,0.8556742491141026,0.08457097248613765,2610.398379473329,Kiona-Benton City School District
kittitas,0.8414181531029308,0.824476735089444,-0.01694141801348681,3541.6036308623297,Kittitas School District
la center,0.8594498522991837,0.8596760344486307,0.00022618214944702952,3247.115968427444,La Center School District
la conner,0.7982085004171814,0.7928419909270785,-0.0053665094901028665,6470.494417862839,La Conner School District
lake chelan,0.7880821983811358,0.9136853887990624,0.12560319041792656,3807.6388888888887,Lake Chelan School District
lake quinault,0.7166666666666667,0.7514285714285714,0.03476190476190477,4770.114942528736,Lake Quinault School District
lake stevens,0.909275714859486,0.8988997923985483,-0.010375922460937659,3091.4918414918416,Lake Stevens School District
lake washington,0.914820127100926,0.919859019391742,0.005038892290815999,6186.867962418418,Lake Washington School District
lakewood,0.8603067309835554,0.8680829611940158,0.0077762302104604775,4935.2890422778255,Lakewood School District
liberty,0.8362499999999999,0.8596662425187136,0.02341624251871366,4726.457399103139,Liberty School District
lind,0.66,0.652647619047619,-0.007352380952380999,5801.047120418848,Lind School District
longview,0.7710829430166677,0.8774062816590735,0.10632333864240584,3616.1233993015135,Longview School District
lyle,0.764222222222216,0.6949494414782345,-0.06927278074398158,4207.1713147410355,Lyle School District
lynden,0.8853979932318983,0.8562470549407895,-0.02915093829110882,2751.4600908500975,Lynden School District
mabton,0.8113549913466891,0.8918697411870158,0.0805147498403267,618.9979123173277,Mabton School District
manson,0.8795465447824808,0.901016184435667,0.021469639653186157,3296.4071856287424,Manson School District
mary walker,0.8392110720256953,0.8079614980287383,-0.031249573996957047,4987.603305785124,Mary Walker School District
marysville,0.7381181376822928,0.8106348785151576,0.07251674083286475,3905.591608142946,Marysville School District
mead,0.9035713029681866,0.9207529575772491,0.017181654609062513,3030.692868719611,Mead School District
medical lake,0.8901814231128897,0.933606450584174,0.043425027471284294,1769.5128339444736,Medical Lake School District
mercer island,0.934890577992302,0.9344457584353169,-0.0004448195569851654,7648.08988764045,Mercer Island School District
meridian,0.7968670736419019,0.8512715481572407,0.05440447451533881,3456.299659477866,Meridian School District
methow valley,0.9427083333333334,0.9159837578442177,-0.026724575489115665,5730.392156862745,Methow Valley School District
monroe,0.8107844198870758,0.8561303659094252,0.045345946022349315,3681.9868683985155,Monroe School District
montesano,0.921676520342716,0.8809316866659538,-0.04074483367676218,3243.4971098265896,Montesano School District
morton,0.8220146520146476,0.8282107090910984,0.006196057076450767,3219.435736677116,Morton School District
moses lake,0.7639907107992155,0.8296077135800562,0.0656170027808407,2690.1274264618314,Moses Lake School District
mossyrock,0.8938181475193291,0.8628192926028271,-0.030998854916502006,3396.116504854369,Mossyrock School District
mount adams,0.7296936671571255,0.6909200277778018,-0.038773639379323654,790.5263157894736,Mount Adams School District
mount baker,0.7404460543851052,0.7315246734199485,-0.008921380965156711,3891.87790998448,Mount Baker School District
mount vernon,0.7063491827563838,0.7987174090248154,0.09236822626843155,3707.1228432384605,Mount Vernon School District
mukilteo,0.8379218284672865,0.8777592166389319,0.039837388171645394,4162.846724833963,Mukilteo School District
naches valley,0.9056684461442882,0.9220580242080441,0.01638957806375585,3505.21609538003,Naches Valley School District
napavine,0.9196271751504272,0.912216095838752,-0.007411079311675284,2032.6223337515685,Napavine School District
newport,0.8403288721557389,0.8741089747943466,0.033780102638607645,2413.8248847926266,Newport School District
nine mile falls,0.946879075832235,0.9340193501512353,-0.01285972568099969,3476.190476190476,Nine Mile Falls School District
