name_key,Y_t1,Y_t2,delta_Y,dose,NAME
aberdeen,0.798417843262488,0.7940148937765351,-0.004402949485952878,2698.905109489051,Aberdeen School District
adna,0.88,0.92,0.040000000000000036,2098.256735340729,Adna School District
anacortes,0.8722022016948797,0.8823553513781965,0.01015314968331682,5304.550340379792,Anacortes School District
arlington,0.8108600896564746,0.8476715435100364,0.03681145385356177,3599.0286022665946,Arlington School District
auburn,0.7515300351912814,0.8111657603280831,0.05963572513680171,4275.148302410703,Auburn School District
bainbridge island,0.9335169872508056,0.9354859775200186,0.0019689902692130445,5812.8028564141805,Bainbridge Island School District
battle ground,0.7611746899266973,0.7563949585489073,-0.004779731377790086,3005.158057622872,Battle Ground School District
bellingham,0.8141394084967207,0.8499836754821057,0.03584426698538501,5422.5601131541725,Bellingham School District
bethel,0.868248957657087,0.8859979863178344,0.017749028660747457,3669.8167995353992,Bethel School District
blaine,0.7787885077847384,0.8370147783836672,0.05822627059892882,5120.357941834452,Blaine School District
bremerton,0.6943295796727145,0.6564361643384314,-0.03789341533428303,3685.7528436475804,Bremerton School District
brewster,0.819604650881158,0.8366479984323214,0.017043347551163435,1563.691073219659,Brewster School District
bridgeport,0.862721856149775,0.8260633881728973,-0.03665846797687777,697.072072072072,Bridgeport School District
burlington edison,0.7763390165466454,0.8290932844296037,0.05275426788295834,4003.5297311973936,Burlington-Edison School District
camas,0.9042908533796216,0.8937674619512226,-0.010523391428398976,5441.112559756628,Camas School District
cape flattery,0.8563012698875999,0.9050204813108,0.048719211423200126,1812.6315789473683,Cape Flattery School District
cascade,0.8970042802762245,0.9173998229459142,0.02039554266968968,5657.251908396946,Cascade School District
cashmere,0.9376411721742124,0.9303294701556256,-0.007311702018586774,3073.8820479585224,CASHMERE SCHOOL DISTRICT
castle rock,0.8078865098639799,0.8280254628130062,0.020138952949026234,2118.8925081433226,Castle Rock School District
central kitsap,0.8597960669310394,0.8765865878040382,0.016790520872998815,3524.7971145175834,Central Kitsap School District
central valley,0.845269010628162,0.8689700567513442,0.023701046123182246,3249.3812345308634,Central Valley School District
centralia,0.7766280857254709,0.8152766219412872,0.03864853621581632,1999.4433620929585,Centralia School District
chehalis,0.8268895163566896,0.8725750451772132,0.04568552882052357,2903.172504957039,Chehalis School District
cheney,0.8500676481121549,0.8646049793220967,0.014537331209941828,3469.2577953447517,Cheney School District
chewelah,0.8276532249512829,0.8496781878916895,0.022024962940406567,1767.6143386897404,Chewelah School District
chimacum,0.864821117014209,0.8885488508644672,0.02372773385025817,4641.873278236914,Chimacum School District
clarkston,0.6765268787448933,0.7803389810149628,0.10381210227006954,2238.5560104205433,Clarkston School District
