LEAID,FIPST,TOTALEXP,enrollment,year,per_pupil_exp,first_treat,dose
0100005,1,11702999.999999998,3120.0,1990,3750.9615384615377,0,
0100005,1,11678000.0,3084.0,1992,3786.6407263294423,0,
0100005,1,13734000.0,3118.0,1995,4404.746632456703,0,
0100005,1,14074000.0,3213.0,1996,4380.329909741675,0,
0100005,1,15648000.0,3274.0,1997,4779.47464874771,0,
0100005,1,17733000.0,3244.0,1998,5466.399506781751,0,
0100005,1,18997000.0,3366.0,1999,5643.7908496732025,0,
0100005,1,24097000.0,3391.0,2000,7106.1633736360955,0,
0100005,1,31514000.0,3471.0,2001,9079.227888216652,0,
0100005,1,22551000.0,3499.0,2002,6444.984281223206,0,
0100005,1,24050000.0,3576.0,2003,6725.391498881432,0,
0100005,1,25608000.0,3621.0,2004,7072.079536039768,0,
0100005,1,26331000.0,3653.0,2005,7208.048179578429,0,
0100005,1,29061000.0,3718.0,2006,7816.299085529855,0,
0100005,1,32760000.0,3747.0,2007,8742.994395516413,0,
0100005,1,45593000.0,3790.0,2008,12029.81530343008,0,
0100005,1,50805000.0,3849.0,2009,13199.532346063912,0,
0100005,1,57286000.0,4104.0,2010,13958.576998050683,0,
0100005,1,45912000.0,4143.0,2011,11081.824764663288,0,
0100005,1,35381000.0,4140.0,2012,8546.135265700483,0,
0100005,1,38123000.0,4422.0,2013,8621.212121212122,0,
0100006,1,22140000.0,5511.0,1990,4017.4197060424603,0,
0100006,1,23682000.0,6139.0,1992,3857.631536080795,0,
0100006,1,30831000.0,6707.0,1995,4596.839123304011,0,
0100006,1,31482000.0,6793.0,1996,4634.476667157368,0,
0100006,1,33179000.0,6866.0,1997,4832.362365278183,0,
0100006,1,36492000.0,6903.0,1998,5286.3972186006085,0,
0100006,1,40933000.0,6904.0,1999,5928.88180764774,0,
0100006,1,45411000.0,7022.0,2000,6466.960979777841,0,
0100006,1,54109000.0,6936.0,2001,7801.182237600923,0,
0100006,1,49931000.0,6919.0,2002,7216.505275328805,0,
0100006,1,53394000.0,7011.0,2003,7615.746683782627,0,
0100006,1,48230000.0,7148.0,2004,6747.341913822048,0,
0100006,1,47010000.0,5106.0,2005,9206.815511163337,0,
0100006,1,47458000.0,5554.0,2006,8544.832553114873,0,
0100006,1,48036000.0,5562.0,2007,8636.461704422869,0,
0100006,1,55204000.0,5647.0,2008,9775.810164689216,0,
0100006,1,56040000.0,5815.0,2009,9637.145313843508,0,
0100006,1,57101000.0,5777.0,2010,9884.195949454734,0,
0100006,1,58104000.0,5916.0,2011,9821.501014198782,0,
0100006,1,55493000.0,5881.0,2012,9435.980275463357,0,
0100006,1,53182000.0,5700.0,2013,9330.17543859649,0,
0100007,1,31101000.0,5879.0,1990,5290.185405681238,0,
0100007,1,39410000.0,6328.0,1992,6227.876106194691,0,
0100007,1,64196000.0,7671.0,1995,8368.661191500456,0,
0100007,1,58819000.0,8235.0,1996,7142.562234365513,0,
0100007,1,60241000.0,8676.0,1997,6943.4071000461045,0,
0100007,1,63353000.0,9054.0,1998,6997.23878948531,0,
0100007,1,80488000.0,9357.0,1999,8601.902319119376,0,
0100007,1,121021000.0,9508.0,2000,12728.334034497266,0,
0100007,1,110401000.0,9839.0,2001,11220.754141681065,0,
0100007,1,96138000.0,10304.0,2002,9330.16304347826,0,
